zipf,tput,irt_med,irt_90,irt_95,irt_99,crt_med,crt_90,crt_95,crt_99
0.5,9128.86801801872,20.304443359375,22.525146484375,22.77734375,23.22265625,265.190185546875,268.40966796875,268.8251953125,269.32470703125
0.5,8902.250117913418,20.295166015625,22.5322265625,22.803955078125,23.459228515625,265.55078125,268.634033203125,269.39794921875,436.940185546875
0.5,9222.253691898786,20.2939453125,22.509765625,22.779052734375,23.20751953125,265.12353515625,268.404296875,268.715087890625,269.244384765625
0.6,8922.608393066837,20.298583984375,22.51904296875,22.773193359375,23.21044921875,265.211669921875,268.42626953125,268.741943359375,269.200927734375
0.6,9181.893547007223,20.312744140625,22.53076171875,22.799560546875,23.375,265.18310546875,268.4443359375,268.875244140625,278.436767578125
0.6,9136.249501487264,20.30810546875,22.527099609375,22.778076171875,23.197509765625,265.245361328125,268.4423828125,268.79931640625,269.37548828125
0.7,9102.10362386383,20.329345703125,22.553955078125,22.813232421875,23.357421875,265.21826171875,268.561279296875,268.979736328125,290.895263671875
0.7,9301.653240927417,20.32421875,22.5146484375,22.77392578125,23.192626953125,264.94970703125,268.381103515625,268.79931640625,269.320068359375
0.7,8774.12582870757,20.316162109375,22.51318359375,22.788330078125,23.228759765625,265.2255859375,268.404052734375,268.767333984375,269.524658203125
0.8,9208.334564315646,20.345947265625,22.52197265625,22.7783203125,23.156982421875,264.8994140625,268.3193359375,268.748291015625,269.288818359375
0.8,9172.63086225997,20.346435546875,22.521240234375,22.777587890625,23.145263671875,264.87646484375,268.29638671875,268.739990234375,269.345947265625
0.9,9253.919723975157,20.372802734375,22.5400390625,22.79052734375,23.158935546875,265.187255859375,268.56982421875,268.995849609375,429.408203125
0.9,9170.411000181459,20.36474609375,22.545654296875,22.80712890625,23.18701171875,265.305908203125,268.37646484375,268.76513671875,269.3408203125
0.9,9129.697769777164,20.364501953125,22.55908203125,22.79150390625,23.193359375,264.9619140625,268.4033203125,268.76513671875,269.34765625
1.0,9116.105597743766,20.405029296875,22.561279296875,22.821044921875,23.170654296875,264.925048828125,268.380615234375,268.7802734375,269.345458984375
1.0,8796.819509043387,20.402587890625,22.55908203125,22.801025390625,23.16162109375,265.13916015625,268.403564453125,268.80517578125,269.3642578125
1.0,9234.796552976044,20.41064453125,22.56005859375,22.810791015625,23.16259765625,264.864013671875,268.313720703125,268.81689453125,269.364013671875
