crt_ratio,tput,irt_med,irt_90,irt_95,irt_99,crt_med,crt_90,crt_95,crt_99
1,9113.425419083293,10.940673828125,11.789794921875,12.087158203125,13.05908203125,214.879638671875,266.137451171875,290.67822265625,323.396484375
10,3542.979906015527,10.9921875,11.824462890625,12.114990234375,12.82470703125,211.868896484375,223.549560546875,258.62109375,431.9990234375
20,2378.3758867607526,11.0146484375,11.806884765625,12.033935546875,12.541259765625,209.591796875,214.250244140625,215.7646484375,220.273681640625
30,1707.3822411433077,11.024169921875,11.860107421875,12.081298828125,12.49853515625,209.348876953125,213.426513671875,214.6044921875,219.70947265625
40,1309.6251718971705,11.042236328125,11.838623046875,12.07666015625,12.644775390625,209.218994140625,212.840087890625,214.466796875,233.934814453125
50,1089.1559487739808,11.06298828125,11.85791015625,12.0537109375,12.50390625,209.1708984375,210.982421875,213.1044921875,215.7275390625
60,893.9042226161782,11.103271484375,11.87158203125,12.115966796875,12.785400390625,209.212158203125,212.491455078125,223.951904296875,386.401123046875
70,807.7592718905373,11.037109375,11.84716796875,12.046630859375,12.536376953125,209.14453125,210.081787109375,211.2529296875,214.755859375
80,698.0632337094854,11.11767578125,11.898193359375,12.11474609375,12.715576171875,209.14990234375,209.986572265625,211.169921875,231.052978515625
90,632.5140072217624,11.0830078125,11.79638671875,11.975341796875,12.51708984375,209.128173828125,210.008544921875,210.4775390625,221.86572265625
